exercise_name,position_sl_stand,position_split_stand,position_dl_stand,position_quadruped,position_lying,muscle_quad,muscle_hamstring,muscle_glute_max,muscle_glute_med_min,muscle_adductors,muscle_hip_flexors,muscle_calves,difficulty_level
Straight leg raise,FALSE,FALSE,FALSE,FALSE,TRUE,4,1,0,1,2,3,0,1
Double leg glute bridging,FALSE,FALSE,FALSE,FALSE,TRUE,1,3,4,2,2,1,2,2
Double leg hamstrings bridging,FALSE,FALSE,FALSE,FALSE,TRUE,1,4,4,2,2,1,2,3
Single leg glute bridging,FALSE,FALSE,FALSE,FALSE,TRUE,1,3,5,3,3,1,3,4
Single leg hamstrings bridging,FALSE,FALSE,FALSE,FALSE,TRUE,1,5,4,3,3,1,3,4
Scissors,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,2,3,0,1
3-months supine hip lowering,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,1,1,3,4,0,2
Deadbug,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,1,3,4,0,3
Side lying Clamshell,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,3,4,1,1,0,2
Side lying adductor raise,FALSE,FALSE,FALSE,FALSE,TRUE,2,1,1,1,4,2,0,2
Side plank on knees,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,3,5,1,1,0,3
Side plank hip abduction,FALSE,FALSE,FALSE,FALSE,TRUE,1,1,4,5,1,1,0,4
Copenhagen adductor,FALSE,FALSE,FALSE,FALSE,TRUE,2,2,3,2,5,2,0,5
Prone leg curl with band,FALSE,FALSE,FALSE,FALSE,TRUE,0,4,1,0,0,0,2,1
Quadruped donkey kick,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,4,4,2,1,1,3
Quadruped leg extension,FALSE,FALSE,FALSE,TRUE,FALSE,1,2,4,4,2,1,1,4
Quadruped hip abduction,FALSE,FALSE,FALSE,TRUE,FALSE,1,1,4,5,2,1,1,4
Quadruped on toes iso hold,FALSE,FALSE,FALSE,TRUE,FALSE,4,3,3,3,2,2,3,4
Quadruped on toes foot lift,FALSE,FALSE,FALSE,TRUE,FALSE,5,3,3,5,3,3,4,5
DL squat,FALSE,FALSE,TRUE,FALSE,FALSE,5,3,3,3,3,2,3,3
Sumo squat,FALSE,FALSE,TRUE,FALSE,FALSE,4,4,4,3,3,2,3,3
Hip hinge,FALSE,FALSE,TRUE,FALSE,FALSE,3,5,4,2,3,2,3,4
Deadlift,FALSE,FALSE,TRUE,FALSE,FALSE,4,5,5,2,3,2,3,4
Split leg squat,FALSE,TRUE,FALSE,FALSE,FALSE,5,4,4,4,3,3,3,4
Lunge,FALSE,TRUE,FALSE,FALSE,FALSE,4,5,5,4,3,3,3,5
RFESS,FALSE,TRUE,FALSE,FALSE,FALSE,5,4,4,5,3,4,3,5
Side squat,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,4,5,4,3,3,4
Banded side step,FALSE,TRUE,FALSE,FALSE,FALSE,4,4,5,5,3,3,3,4
SL squat,TRUE,FALSE,FALSE,FALSE,FALSE,5,3,5,4,3,3,4,5
SL RDL,TRUE,FALSE,FALSE,FALSE,FALSE,3,5,5,5,4,3,4,5
Step up,TRUE,FALSE,FALSE,FALSE,FALSE,5,4,4,5,4,3,3,4
Hip hikes,TRUE,FALSE,FALSE,FALSE,FALSE,2,2,2,5,2,2,3,3
SL hip hydrant,TRUE,FALSE,FALSE,FALSE,FALSE,4,4,5,5,4,3,4,5
