exercise_id,muscle,muscle_type,muscle_value
1,quad,P,4
1,hip_flexors,N,3
2,hamstring,N,3
2,glute_max,P,4
3,hamstring,P,4
3,glute_max,N,4
4,hamstring,N,3
4,glute_max,P,5
4,glute_med_min,S,4
5,hamstring,P,5
5,glute_max,N,4
5,glute_med_min,S,4
6,hip_flexors,P,3
7,hip_flexors,P,5
8,hip_flexors,P,4
9,glute_max,N,2
9,glute_med_min,P,4
10,glute_max,N,4
10,glute_med_min,P,4
11,glute_max,N,4
11,glute_med_min,P,5
12,glute_max,N,4
12,glute_med_min,P,5
13,glute_max,N,4
13,glute_med_min,P,5
14,adductors,P,3
15,adductors,P,5
16,glute_med_min,S,3
17,hamstring,N,3
17,glute_max,P,3
17,glute_med_min,S,4
18,hamstring,N,2
18,glute_max,P,3
18,glute_med_min,S,4
19,hamstring,N,1
19,glute_max,P,3
19,glute_med_min,S,5
20,hamstring,N,2
20,glute_max,P,3
20,glute_med_min,S,5
21,quad,P,5
21,hamstring,N,3
21,glute_max,P,3
21,glute_med_min,S,3
21,adductors,N,1
22,quad,P,5
22,hamstring,N,3
22,glute_max,P,4
22,glute_med_min,P,4
22,adductors,N,1
23,quad,P,5
23,hamstring,N,3
23,glute_max,P,3
23,glute_med_min,S,3
23,adductors,P,3
24,quad,S,3
24,hamstring,P,5
24,glute_max,P,4
24,adductors,N,2
25,quad,P,5
25,hamstring,N,4
25,glute_max,P,4
25,glute_med_min,S,4
25,adductors,N,3
26,quad,P,5
26,hamstring,N,5
26,glute_max,P,5
26,glute_med_min,S,4
26,adductors,N,3
27,quad,P,5
27,hamstring,N,4
27,glute_max,P,4
27,glute_med_min,S,5
27,adductors,N,3
28,quad,P,5
28,hamstring,N,4
28,glute_max,P,4
28,glute_med_min,P,5
28,adductors,N,3
29,glute_med_min,P,5
30,quad,P,5
30,hamstring,N,4
30,glute_max,P,5
30,glute_med_min,S,4
30,adductors,N,3
31,quad,P,5
31,hamstring,N,3
31,glute_max,P,5
31,glute_med_min,S,5
31,adductors,N,3
32,quad,S,2
32,hamstring,P,5
32,glute_max,N,5
32,glute_med_min,S,5
32,adductors,S,4
