exercise_id,sport
21,cycling
21,swimming
22,cycling
22,swimming
23,cycling
23,swimming
24,cycling
24,swimming
25,running
25,hiking
25,dancing
25,racket sports
26,running
26,hiking
26,dancing
26,racket sports
27,running
27,hiking
27,dancing
27,racket sports
28,running
28,hiking
28,dancing
28,racket sports
29,running
29,hiking
29,dancing
29,racket sports
30,running
30,hiking
30,dancing
30,racket sports
31,running
31,hiking
31,dancing
31,racket sports
32,running
32,hiking
32,dancing
32,racket sports
